일자,기온(°C),습도(%rh),체감온도(°C)
1994-01-01,-0.9,37.1,-8.3
1994-01-02,0.8,24.1,-4.8
1994-01-03,5.6,15.5,2.4
1994-01-04,2.3,22.3,-2.6
1994-01-05,1.4,31.3,-4.8
1994-01-06,6.3,22.7,2.4
1994-01-07,-1.2,27.7,-7.8
1994-01-08,-0.7,24.1,-6.7
1994-01-09,2.6,9.7,-0.1
1994-01-10,6.1,9.7,4
1994-01-11,5.4,27.7,0.8
1994-01-12,4.4,19.8,0.3
1994-01-13,2.9,26.3,-2.3
1994-01-14,-0.9,36,-8.2
1994-01-15,2.4,19.1,-2.1
1994-01-16,4.1,6.1,2.7
1994-01-17,6.2,17.3,2.9
1994-01-18,-4.3,11.5,-8.9
1994-01-19,-6.9,27,-15.1
1994-01-20,-4.5,29.9,-12.3
1994-01-21,-4.9,18,-11.1
1994-01-22,-2.3,18,-7.8
1994-01-23,-4,13.7,-9.1
1994-01-24,-6.5,22.7,-13.9
1994-01-25,0.1,5.4,-1.7
1994-01-26,4,27,-1
1994-01-27,-0.7,27.7,-7.1
1994-01-28,-0.1,22.3,-5.7
1994-01-29,-0.7,19.8,-6.1
1994-01-30,-1.9,16.2,-7
1994-01-31,4.5,2.9,4.6
1994-02-01,2.4,31.3,-3.5
1994-02-02,-2.3,10.8,-6.3
1994-02-03,-0.2,9,-3.3
1994-02-04,1.8,22.3,-3.3
1994-02-05,1.1,36,-5.6
1994-02-06,3.5,20.9,-0.9
1994-02-07,2.8,15.5,-1
1994-02-08,6,36,0.9
1994-02-09,-3.1,22.7,-9.6
1994-02-10,-4,36.7,-12.4
1994-02-11,1.4,27.7,-4.4
1994-02-12,1.7,29.9,-4.2
1994-02-13,-1.7,13.7,-6.2
1994-02-14,1,18.7,-3.8
1994-02-15,6.8,19.1,3.4
1994-02-16,4.1,16.9,0.3
1994-02-17,3.7,13.7,0.4
1994-02-18,4.6,1.8,5.5
1994-02-19,6.1,7.2,4.6
1994-02-20,8.7,15.5,6.2
1994-02-21,1.6,15.5,-2.5
1994-02-22,0.2,46.8,-7.6
1994-02-23,2.2,14.4,-1.6
1994-02-24,1.3,26.3,-4.4
1994-02-25,0.9,24.1,-4.6
1994-02-26,0.6,22.7,-4.9
1994-02-27,1.5,24.1,-3.9
1994-02-28,3.2,11.5,0.2
1994-03-01,-1.6,27.7,-8.3
1994-03-02,0.6,33.5,-6
1994-03-03,4.2,19.1,0.2
1994-03-04,4.2,7.2,2.4
1994-03-05,6.4,18,3.1
1994-03-06,5.5,15.5,2.3
1994-03-07,,,
1994-03-08,,,
1994-03-09,2.6,21.6,-2.2
1994-03-10,-1.8,56.5,-11
1994-03-11,0.2,19.1,-4.9
1994-03-12,2.7,9,0.2
1994-03-13,2.4,34.9,-3.8
1994-03-14,-0.2,25.2,-6.2
1994-03-15,1.1,14.4,-3
1994-03-16,2.9,16.9,-1.1
1994-03-17,4.6,13.3,1.5
1994-03-18,5.6,7.2,4.1
1994-03-19,6.4,13.7,3.7
1994-03-20,4.8,20.9,0.7
1994-03-21,4.7,17.3,1
1994-03-22,6.8,18.7,3.5
1994-03-23,6.5,25.2,2.4
1994-03-24,0.9,17.3,-3.7
1994-03-25,0.5,37.1,-6.5
1994-03-26,1.2,20.9,-3.9
1994-03-27,0.4,7.9,-2.2
1994-03-28,6.9,25.2,2.9
1994-03-29,6.8,11.5,4.5
1994-03-30,7.7,6.1,6.8
1994-03-31,,,
1994-04-01,9.3,22.7,6.2
1994-04-02,,,
1994-04-03,,,
1994-04-04,,,
1994-04-05,,,
1994-04-06,,,
1994-04-07,,,
1994-04-08,8,28.1,4.1
1994-04-09,5.8,16.9,2.5
1994-04-10,6.6,24.1,2.7
1994-04-11,,,
1994-04-12,,,
1994-04-13,8.2,9,6.7
1994-04-14,8,14.4,5.5
1994-04-15,,,
1994-04-16,,,
1994-04-17,,,
1994-04-18,,,
1994-04-19,,,
1994-04-20,,,
1994-04-21,,,
1994-04-22,,,
1994-04-23,,,
1994-04-24,,,
1994-04-25,,,
1994-04-26,,,
1994-04-27,,,
1994-04-28,,,
1994-04-29,,,
1994-04-30,,,
1994-05-01,23.4,68,25
1994-05-02,19.5,70,21.2
1994-05-03,17.6,94,20.8
1994-05-04,16.6,95,19.9
1994-05-05,15.2,54,15.9
1994-05-06,21.7,42,21.3
1994-05-07,21.7,44,21.5
1994-05-08,23.6,51,23.8
1994-05-09,21.2,71,23
1994-05-10,19.4,82,21.9
1994-05-11,16.6,93,19.7
1994-05-12,20.3,69,21.9
1994-05-13,18.6,75,20.6
1994-05-14,20.5,75,22.6
1994-05-15,17.3,95,20.6
1994-05-16,23.5,66,24.9
1994-05-17,16.4,84,19
1994-05-18,22.6,35,21.5
1994-05-19,20.2,36,19.4
1994-05-20,21.9,47,21.9
1994-05-21,19.3,83,21.8
1994-05-22,22.1,73,24
1994-05-23,22.3,57,23.1
1994-05-24,26.1,58,26.9
1994-05-25,19.7,91,22.8
1994-05-26,20.1,87,22.9
1994-05-27,23.4,36,22.4
1994-05-28,22.6,32,21.2
1994-05-29,23.5,62,24.6
1994-05-30,24,48,24
1994-05-31,26.1,39,25.2
1994-06-01,25.4,44,25
1994-06-02,25.3,51,25.5
1994-06-03,24.2,55,24.8
1994-06-04,24.9,49,25
1994-06-05,20.9,60,21.9
1994-06-06,22.1,54,22.7
1994-06-07,21.9,65,23.3
1994-06-08,22.2,67,23.7
1994-06-09,26.6,41,25.9
1994-06-10,22.3,70,24
1994-06-11,22.6,71,24.4
1994-06-12,27.2,56,27.8
1994-06-13,25.6,64,26.9
1994-06-14,27,39,26.1
1994-06-15,26.4,49,26.4
1994-06-16,25,71,26.8
1994-06-17,23.1,80,25.5
1994-06-18,19.5,97,22.9
1994-06-19,21.1,68,22.6
1994-06-20,20.5,64,21.8
1994-06-21,23.8,65,25.1
1994-06-22,20,87,22.8
1994-06-23,23,78,25.3
1994-06-24,23.8,76,25.9
1994-06-25,23.8,82,26.4
1994-06-26,26,83,28.7
1994-06-27,24.6,88,27.6
1994-06-28,24.5,77,26.7
1994-06-29,23.4,79,25.8
1994-06-30,23.4,94,26.8
1994-07-01,24.6,89,27.7
1994-07-02,27.7,79,30.2
1994-07-03,29.7,73,31.7
1994-07-04,29.5,74,31.6
1994-07-05,30.4,71,32.3
1994-07-06,31.9,68,33.5
1994-07-07,29.2,75,31.4
1994-07-08,30.5,70,32.3
1994-07-09,29.7,75,31.9
1994-07-10,30.2,70,32
1994-07-11,30.1,70,31.9
1994-07-12,29.7,73,31.7
1994-07-13,32.1,74,34.3
1994-07-14,31.8,67,33.4
1994-07-15,31.8,65,33.2
1994-07-16,33.2,63,34.4
1994-07-17,32.7,52,32.9
1994-07-18,32.4,57,33.1
1994-07-19,32.1,64,33.4
1994-07-20,32.2,63,33.4
1994-07-21,32.2,73,34.3
1994-07-22,32,68,33.6
1994-07-23,34.4,51,34.5
1994-07-24,35.7,48,35.4
1994-07-25,35.2,49,35.1
1994-07-26,27.5,82,30.2
1994-07-27,26.7,87,29.7
1994-07-28,29,75,31.2
1994-07-29,30.5,72,32.5
1994-07-30,31.2,70,33
1994-07-31,30,78,32.4
1994-08-01,27.7,91,31
1994-08-02,31,75,33.2
1994-08-03,31.7,74,33.8
1994-08-04,31.8,68,33.4
1994-08-05,32.2,70,34
1994-08-06,31.4,73,33.5
1994-08-07,31.3,75,33.5
1994-08-08,31.9,68,33.5
1994-08-09,30.8,74,32.9
1994-08-10,29,80,31.6
1994-08-11,29.1,79,31.6
1994-08-12,31.5,66,33
1994-08-13,32.8,62,34
1994-08-14,30.8,73,32.8
1994-08-15,30.9,71,32.8
1994-08-16,32,64,33.3
1994-08-17,32.4,55,32.9
1994-08-18,31.6,57,32.3
1994-08-19,31.1,60,32.1
1994-08-20,30.7,40,29.7
1994-08-21,31.3,45,30.8
1994-08-22,30.8,56,31.4
1994-08-23,29.4,60,30.4
1994-08-24,30.4,60,31.4
1994-08-25,30,65,31.4
1994-08-26,30.7,69,32.4
1994-08-27,30.9,66,32.4
1994-08-28,27.2,80,29.7
1994-08-29,31.4,65,32.8
1994-08-30,31.8,66,33.3
1994-08-31,32.5,66,34
1994-09-01,32.1,60,33.1
1994-09-02,34.1,54,34.5
1994-09-03,30.2,60,31.2
1994-09-04,31,62,32.1
1994-09-05,31.1,67,32.6
1994-09-06,24.2,94,27.6
1994-09-07,28.7,60,29.6
1994-09-08,29.2,51,29.4
1994-09-09,29.1,58,29.9
1994-09-10,29.3,62,30.4
1994-09-11,26,40,25.2
1994-09-12,24.8,41,24.2
1994-09-13,25.3,49,25.4
1994-09-14,27.7,40,26.8
1994-09-15,26.8,48,26.7
1994-09-16,24.7,52,25
1994-09-17,18.7,90,21.7
1994-09-18,25.8,59,26.7
1994-09-19,26.7,55,27.3
1994-09-20,27.5,51,27.7
1994-09-21,27.2,55,27.7
1994-09-22,24.8,60,25.8
1994-09-23,27.4,39,26.5
1994-09-24,25.4,34,24
1994-09-25,24.2,43,23.8
1994-09-26,24.8,53,25.2
1994-09-27,26,46,25.8
1994-09-28,23,55,23.6
1994-09-29,22.2,54,22.8
1994-09-30,26.1,42,25.5
1994-10-01,,,
1994-10-02,,,
1994-10-03,,,
1994-10-04,,,
1994-10-05,,,
1994-10-06,,,
1994-10-07,,,
1994-10-08,,,
1994-10-09,,,
1994-10-10,,,
1994-10-11,,,
1994-10-12,,,
1994-10-13,,,
1994-10-14,,,
1994-10-15,,,
1994-10-16,,,
1994-10-17,,,
1994-10-18,,,
1994-10-19,,,
1994-10-20,,,
1994-10-21,8.6,28.1,4.9
1994-10-22,7.8,29.9,3.7
1994-10-23,,,
1994-10-24,,,
1994-10-25,,,
1994-10-26,,,
1994-10-27,,,
1994-10-28,,,
1994-10-29,,,
1994-10-30,9.7,37.1,5.7
1994-10-31,9.1,24.1,5.9
1994-11-01,,,
1994-11-02,,,
1994-11-03,,,
1994-11-04,8.5,4.7,8.2
1994-11-05,,,
1994-11-06,,,
1994-11-07,,,
1994-11-08,,,
1994-11-09,,,
1994-11-10,,,
1994-11-11,,,
1994-11-12,,,
1994-11-13,,,
1994-11-14,,,
1994-11-15,,,
1994-11-16,,,
1994-11-17,,,
1994-11-18,,,
1994-11-19,,,
1994-11-20,8.7,18,5.9
1994-11-21,8.8,24.1,5.5
1994-11-22,8,26.3,4.3
1994-11-23,8.1,15.5,5.5
1994-11-24,8.7,2.5,9.4
1994-11-25,9.2,20.9,6.3
1994-11-26,5.2,47.9,-0.9
1994-11-27,3.6,21.6,-0.9
1994-11-28,8,26.3,4.3
1994-11-29,,,
1994-11-30,,,
1994-12-01,,,
1994-12-02,2.8,16.2,-1.2
1994-12-03,0,24.1,-5.8
1994-12-04,0.1,28.8,-6.2
1994-12-05,3.1,24.5,-1.9
1994-12-06,2.7,33.5,-3.3
1994-12-07,,,
1994-12-08,9.7,4.7,9.5
1994-12-09,9.8,14.4,7.7
1994-12-10,9.1,18,6.5
1994-12-11,,,
1994-12-12,6.8,24.1,2.9
1994-12-13,1.5,13.7,-2.3
1994-12-14,0.4,11.5,-3.2
1994-12-15,-0.1,16.9,-4.9
1994-12-16,-4.6,24.1,-11.7
1994-12-17,-3.6,39.6,-12.2
1994-12-18,-1.2,22.7,-7.1
1994-12-19,-1.9,24.1,-8.2
1994-12-20,2.8,11.9,-0.4
